     / nm        / nm            (Code)   / cm^(-1)  lower   / cm^(-1)  upper   R     S     W   
------------------------------------------------------------------------------------------------
   121.5671              -0.080   1.00        0.000   0.5    82259.105   1.5   8.67  0.00  0.00 
   139.3755               0.030  14.03        0.000   0.5    71748.640   1.5   8.96 -6.00  0.00 
   140.2770              -0.280  14.03        0.000   0.5    71287.540   0.5   8.96 -6.00  0.00 
   154.8187              -0.423   6.03        0.000   0.5    64591.700   1.5   8.42  0.00  0.00 
   155.0772              -0.723   6.03        0.000   0.5    64484.000   0.5   8.42  0.00  0.00 
   185.4716    185.4089   0.060  13.02        0.000   0.5    53916.600   1.5   0.00  0.00  0.00 
   186.2790    186.2162  -0.240  13.02        0.000   0.5    53682.930   0.5   0.00  0.00  0.00 
   279.6352    279.5528   0.100  12.01        0.000   0.5    35760.880   1.5   8.43 -5.68 -7.86 
   280.3531    280.2705  -0.210  12.01        0.000   0.5    35669.310   0.5   8.43 -5.68 -7.86 
